price,trade,type,data_format,file_type,tag,time,evaluation,name,size,browse
低于0.01元/次,0,API数据,,,企业综合,,4,行业状况,,28705
0.1元/次,0,API数据,,,投融资,,4,融资融券,,21227
20.0元/次,0,API数据,,,市场调研,,4,市场调查研究报告查询,,29324
0.19元/次,0,API数据,,,企业综合,,4,企业主营构成分析,,27569
0.1元/次,0,API数据,,,黑名单,,5,被执行人接口,,22516
1.4元/次,0,API数据,,,企业综合,,4,企业年报信息核验,,28191
13.0元/次,0,API数据,,,企业综合,,4,企业族谱核验,,29705
1.1元/次,0,API数据,,,企业综合,,4,公司新闻信息核验,,21357
0.03元/次,0,API数据,,,银行卡核验,,5,身份证二要素实名认证核验,,22487
0.3元/次,0,API数据,,,银行卡核验,,5,银行卡三要素认证,,23699
0.22元/次,0,API数据,,,手机号验证,,5,手机号三要素实名认证,,28749
0.3元/次,0,API数据,,,银行卡核验,,5,银行卡四元素认证,,25586
低于0.01元/次,0,API数据,,,电子商务,,4,阿里巴巴类目热词批量查询,,29368
低于0.01元/次,0,API数据,,,万年历,,5,黄历查询,,31823
低于0.01元/次,0,API数据,,,产业经济,,5,黄金价格,,31034
低于0.01元/次,0,API数据,,,位置地图,,4,全国省市县行政区划,,23797
0.02元/次,0,API数据,,,智能风控,,5,身份证识别,,26346
0.01元/次,0,API数据,,,公路铁路,,5,火车查询接口,,25678
低于0.01元/次,0,API数据,,,彩票信息,,5,彩票开奖查询,,29991
低于0.01元/次,0,API数据,,,身份核验,,5,身份证号码查询,,32240
低于0.01元/次,0,API数据,,,星座运势,,5,周公解梦,,25723
低于0.01元/次,0,API数据,,,星座运势,,5,星座运势查询,,24708
低于0.01元/次,0,API数据,,,股票汇率,,5,汇率查询,,28713
0.07元/次,0,API数据,,,企业综合,,5,营业执照识别,,23484
低于0.01元/次,0,API数据,,,商品信息,,4,条码生成与识别,,29202
0.28元/次,0,API数据,,,企业工商,,5,企业工商数据信息查询,,25689
低于0.01元/次,0,API数据,,,智能识别,,4,通用文字识别,,29946
低于0.01元/次,0,API数据,,,油价查询,,5,今日油价查询,,33364
低于0.01元/次,0,API数据,,,银行卡信息,,5,银行卡归属地,,28947
0.03元/次,0,API数据,,,智能风控,,5,行驶证识别,,31036
0.01元/次,0,API数据,,,车辆信息,,5,车牌号校验,,30477
0.15元/次,0,API数据,,,企业综合,,4,企业负面信息,,22383
0.15元/次,0,API数据,,,企业综合,,4,动产抵押信息,,23094
0.3元/次,0,API数据,,,企业综合,,4,变更记录,,23243
0.15元/次,0,API数据,,,经营管理,,4,企业年报信息,,25200
0.15元/次,0,API数据,,,行政监管,,4,企业法院裁判信息,,23856
0.15元/次,0,API数据,,,反欺诈,,5,失信被执行信息接口,,28023
250000.0元/月,0,API数据,,,投融资,,5,京东全品类指数查询,,29300
25000.0元/月,0,API数据,,,投融资,,5,京东运动户外指数查询,,26117
25000.0元/月,0,API数据,,,投融资,,5,京东食品饮料指数查询,,22320
0.15元/次,0,API数据,,,投融资,,4,企业对外投资信息,,26739
25000.0元/月,0,API数据,,,投融资,,5,京东母婴保健指数查询,,29267
25000.0元/月,0,API数据,,,投融资,,5,京东珠宝首饰指数查询,,27092
