ID,注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例,flag
28,2007.0,2050.0,交通运输业,福建,农民专业合作社,企业法人,,1.0
230,2008.0,3360.0,服务业,广东,农民专业合作社,企业法人,1.0,1.0
429,2005.0,9670.0,工业,江西,集体所有制企业,自然人,0.75,1.0
693,2011.0,8360.0,社区服务,山东,股份有限公司,企业法人,0.98,1.0
727,2001.0,8720.0,零售业,江西,股份有限公司,企业法人,0.54,1.0
990,2014.0,8440.0,社区服务,广西,集体所有制企业,自然人,0.75,1.0
1137,2002.0,2240.0,商业服务业,广东,有限责任公司,企业法人,0.83,1.0
1274,2001.0,5350.0,零售业,广西,集体所有制企业,自然人,0.85,1.0
1560,2000.0,7000.0,工业,湖南,农民专业合作社,自然人,0.61,1.0
1873,2006.0,6370.0,社区服务,山东,农民专业合作社,企业法人,0.53,1.0
2260,2010.0,9030.0,社区服务,江西,有限责任公司,自然人,0.51,1.0
2694,2008.0,,商业服务业,山东,股份有限公司,企业法人,0.85,1.0
2992,2007.0,2670.0,工业,广西,合伙企业,自然人,0.97,1.0
3261,2000.0,5560.0,,广东,股份有限公司,自然人,0.65,1.0
3313,2000.0,8360.0,服务业,福建,股份有限公司,自然人,0.72,1.0
3537,2013.0,4450.0,交通运输业,山东,农民专业合作社,企业法人,0.71,1.0
3719,2005.0,6340.0,服务业,江西,农民专业合作社,自然人,0.68,1.0
3720,2003.0,640.0,零售业,湖南,农民专业合作社,企业法人,0.99,1.0
3742,2010.0,7750.0,零售业,广东,有限责任公司,自然人,0.81,1.0
3770,2011.0,9640.0,零售业,湖南,农民专业合作社,自然人,0.53,1.0
4107,2004.0,7980.0,社区服务,广西,股份有限公司,企业法人,0.96,1.0
4321,2005.0,8290.0,服务业,湖北,集体所有制企业,自然人,0.92,1.0
4911,2001.0,8180.0,服务业,广东,有限责任公司,企业法人,0.56,1.0
5267,2014.0,1810.0,社区服务,福建,农民专业合作社,自然人,0.81,1.0
5646,2010.0,230.0,零售业,江西,股份有限公司,企业法人,0.99,1.0
6172,2000.0,1470.0,工业,江西,合伙企业,自然人,0.58,1.0
6357,2001.0,3650.0,服务业,湖南,农民专业合作社,自然人,0.86,1.0
6370,2009.0,1180.0,交通运输业,,集体所有制企业,自然人,0.89,1.0
7662,2005.0,9400.0,服务业,广东,合伙企业,自然人,0.75,1.0
7706,2007.0,580.0,商业服务业,福建,股份有限公司,自然人,0.93,1.0
7824,2013.0,7930.0,交通运输业,广西,集体所有制企业,企业法人,0.95,1.0
7865,2004.0,8660.0,交通运输业,江西,有限责任公司,自然人,0.95,1.0
