trade,price,size,time,tag,name,type,evaluation,browse,file_type,data_format
0,0.28元/次,,,银行卡核验,银行卡二三四要素综合实名认证,API数据,5,21037,,
0,0.050元/次,,,身份核验,身份证二要素实名认证经济版,API数据,5,10634,,
0,8.58元/万次,,,天气查询,墨迹天气信息服务专业版经纬度,API数据,5,29392,,
0,0.016元/次,,,商品信息,阿里巴巴商品描述信息查询,API数据,4,23962,,
0,0.20元/次,,,位置地图,全国度假村位置数据,API数据,4,24805,,
0,0.016元/次,,,电子商务,淘宝商品描述信息查询,API数据,5,25117,,
0,1.80元/次,,,车辆信息,VIN查询车辆基本信息,API数据,4,22000,,
0,0.20元/次,,,位置地图,全国汽车站位置数据,API数据,4,28651,,
0,0.042元/次,,,知识产权,商标列表查询,API数据,4,24973,,
0,0.10元/次,,,经营管理,工商经营异常信息查询接口,API数据,4,28647,,
0,0.20元/次,,,公告文书,查询企业法院公告,API数据,4,22103,,
0,0.12元/次,,,公告文书,查询企业开庭公告,API数据,4,24270,,
0,0.20元/次,,,行政监管,查询企业法律诉讼,API数据,4,29208,,
0,0.20元/次,,,行政监管,查询企业失信人,API数据,4,22986,,
0,0.20元/次,,,经营管理,查询企业经营异常,API数据,4,29315,,
0,0.20元/次,,,行政监管,查询企业被执行人,API数据,4,23293,,
0,0.20元/次,,,行政监管,查询企业行政处罚,API数据,4,24395,,
0,0.20元/次,,,企业综合,查询企业动产抵押,API数据,4,30034,,
0,0.20元/次,,,行政监管,查询企业严重违法,API数据,4,21510,,
0,0.20元/次,,,税务信息,查询企业欠税公告,API数据,4,21539,,
0,0.20元/次,,,企业综合,查询企业司法拍卖,API数据,4,25333,,
0,0.12元/次,,,投融资,查询企业对外投资,API数据,4,23031,,
0,0.12元/次,,,企业综合,查询企业股东信息,API数据,4,23458,,
0,0.12元/次,,,企业综合,查询企业分支机构,API数据,4,24558,,
0,0.12元/次,,,企业工商,查询企业变更记录,API数据,4,23675,,
0,0.050元/次,,,企业综合,公司模糊搜索,API数据,4,23227,,
0,0.20元/次,,,投融资,查询企业股权出质,API数据,4,24764,,
0,4.00元/万次,,,彩票信息,彩票开奖查询,API数据,5,30151,,
0,0.005元/次,,,星座运势,周公解梦,API数据,5,25802,,
0,7.50元/万次,,,股票汇率,汇率查询,API数据,5,28905,,
0,4.00元/万次,,,星座运势,星座运势查询,API数据,5,24907,,
0,7.50元/万次,,,商品信息,条码生成与识别,API数据,4,29271,,
0,0.072元/次,,,企业综合,营业执照识别,API数据,5,23521,,
0,0.30元/次,,,企业工商,企业工商数据信息查询,API数据,5,25735,,
0,0.005元/次,,,智能识别,通用文字识别,API数据,4,30026,,
0,0.017元/次,,,车辆信息,车牌号校验,API数据,5,30505,,
0,0.042元/次,,,智能风控,行驶证识别,API数据,5,31070,,
0,4.00元/万次,,,油价查询,今日油价查询,API数据,5,33548,,
0,0.010元/次,,,银行卡信息,银行卡归属地,API数据,5,28988,,
0,7.50元/万次,,,app应用,二维码生成识别,API数据,5,27050,,
0,7.50元/万次,,,手机号码归属,手机号码归属地收费版,API数据,5,28700,,
0,4.00元/万次,,,IP地址,IP查询,API数据,5,29760,,
0,7.50元/万次,,,位置地图,经纬度地址转换,API数据,5,34349,,
0,0.005元/次,,,资质备案,WHOIS查询,API数据,4,24867,,
0,0.005元/次,,,基站,基站查询,API数据,5,23999,,
0,0.028元/次,,,1分钱,OCR通用文字识别,API数据,4,30210,,
0,0.14元/次,,,知识产权,著作权软著查询,API数据,5,32842,,
0,0.028元/次,,,1分钱,OCR银行卡识别,API数据,4,25025,,
0,0.048元/次,,,1分钱,OCR行驶证识别,API数据,4,22920,,
0,0.028元/次,,,1分钱,OCR网络图片文字识别,API数据,4,30965,,
0,0.20元/次,,,位置地图,全国移动联通电信邮局位置数据,API数据,5,31052,,
0,0.15元/次,,,产业经济,劳动力与就业工资,API数据,5,25723,,
0,0.11元/次,,,税务信息,企业纳税人识别号查询,API数据,4,27318,,
0,0.11元/次,,,知识产权,企业著作权数据查询,API数据,4,29744,,
0,0.030元/次,,,智能风控,名片识别,API数据,5,30462,,
0,0.070元/次,,,智能风控,银行卡识别,API数据,5,30625,,
0,0.028元/次,,,1分钱,OCR电子书文字识别,API数据,4,21857,,
0,0.028元/次,,,1分钱,OCR车牌识别,API数据,4,26040,,
0,0.028元/次,,,1分钱,OCR植物花卉识别,API数据,4,26343,,
0,0.10元/次,,,企业综合,失信被执行人查询,API数据,5,25781,,
0,0.028元/次,,,1分钱,OCR动物识别,API数据,4,27638,,
0,0.028元/次,,,1分钱,OCR台湾摩托车车牌识别,API数据,4,23552,,
